Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
81;90041;"Weed Science";journal;"00431745, 15502759";0,914;Q1;91;70;258;3270;618;254;2,39;46,71;United States;Northern America;"Cambridge University Press";"1973-1974, 1976, 1979, 1981, 1983, 1989, 1993-2020";"Agronomy and Crop Science (Q1); Plant Science (Q1)"
82;21100244860;"Opuscula Philolichenum";journal;"19417527, 19417519";0,911;Q1;10;4;34;465;55;34;1,64;116,25;United States;Northern America;"";"2013-2020";"Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
83;21100788294;"Plants";journal;"22237747";0,892;Q1;32;1793;775;121230;3247;769;3,90;67,61;Switzerland;Western Europe;"MDPI Multidisciplinary Digital Publishing Institute";"2012-2020";"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
84;21100464918;"NeoBiota";journal;"16190033, 13142488";0,881;Q1;18;80;101;6084;341;99;3,42;76,05;Bulgaria;Eastern Europe;"Pensoft Publishers";"2015-2020";"Animal Science and Zoology (Q1); Aquatic Science (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Insect Science (Q1); Plant Science (Q1); Ecological Modeling (Q2)"
85;19700186870;"Alpine Botany";journal;"1664221X, 16642201";0,875;Q1;28;16;49;928;109;49;1,66;58,00;Switzerland;Western Europe;"Birkhauser Verlag Basel";"2011-2020";"Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
86;18021;"European Journal of Phycology";journal;"14694433, 09670262";0,874;Q1;72;56;131;3469;448;130;2,48;61,95;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1993-2020";"Aquatic Science (Q1); Plant Science (Q1)"
87;21100900055;"Fermentation";journal;"23115637";0,873;Q1;21;94;275;5572;1280;271;4,20;59,28;Switzerland;Western Europe;"MDPI Multidisciplinary Digital Publishing Institute";"2015-2020";"Food Science (Q1); Plant Science (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2)"
88;19328;"Botanical Journal of the Linnean Society";journal;"10958339, 00244074";0,872;Q1;68;106;277;8219;671;275;2,66;77,54;United Kingdom;Western Europe;"Oxford University Press";"1969-2020";"Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
89;16575;"Plant Biology";journal;"14388677, 14358603";0,871;Q1;87;155;398;9570;1056;394;2,69;61,74;United States;Northern America;"Wiley-Blackwell";"1999-2020";"Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1); Medicine (miscellaneous) (Q2)"
90;21100385961;"Environmental Technology and Innovation";journal;"23521864";0,866;Q1;28;409;310;23508;1661;310;5,51;57,48;Netherlands;Western Europe;"Elsevier BV";"2014-2020";"Environmental Science (miscellaneous) (Q1); Plant Science (Q1); Soil Science (Q1)"
91;19232;"Journal of Plant Growth Regulation";journal;"07217595, 14358107";0,858;Q1;82;270;330;17941;1209;330;3,70;66,45;United States;Northern America;"Springer New York";"1982-2020";"Agronomy and Crop Science (Q1); Plant Science (Q1)"
92;17950;"Dendrochronologia";journal;"16120051, 11257865";0,857;Q1;44;83;233;4748;622;228;2,45;57,20;Germany;Western Europe;"Elsevier GmbH";"1989, 2002-2020";"Ecology (Q1); Plant Science (Q1)"
93;19225;"Journal of Phycology";journal;"15298817, 00223646";0,850;Q1;127;141;304;9309;795;284;2,70;66,02;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1965-2020";"Aquatic Science (Q1); Plant Science (Q1)"
94;11400153301;"Botanical Review, The";journal;"18749372, 00068101";0,848;Q1;68;17;40;1840;106;40;2,92;108,24;United States;Northern America;"Springer New York";"1935-2020";"Plant Science (Q1); Ecology, Evolution, Behavior and Systematics (Q2)"
95;18049;"Fern Gazette";journal;"03080838";0,839;Q1;10;0;1;0;7;1;7,00;0,00;United Kingdom;Western Europe;"British Pteridological Society";"1982-1985, 1994-1996, 1998-2010, 2012-2015, 2018";"Plant Science (Q1); Ecology, Evolution, Behavior and Systematics (Q2)"
96;19036;"Protoplasma";journal;"16156102, 0033183X";0,836;Q1;74;135;477;8114;1413;459;2,89;60,10;Austria;Western Europe;"Springer-Verlag Wien";"1926-1943, 1949-2020";"Plant Science (Q1); Medicine (miscellaneous) (Q2); Cell Biology (Q3)"
97;19357;"Molecular Breeding";journal;"13803743, 15729788";0,833;Q1;101;107;468;5741;1198;468;2,53;53,65;Netherlands;Western Europe;"Springer Netherlands";"1995-2020";"Agronomy and Crop Science (Q1); Plant Science (Q1); Biotechnology (Q2); Genetics (Q3); Molecular Biology (Q3)"
