Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
253;19911;"New Zealand Journal of Botany";journal;"0028825X, 11758643";0,356;Q3;37;37;99;2020;105;89;0,97;54,59;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1963-2020";"Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
254;21100792813;"Turczaninowia";journal;"15607267, 15607259";0,354;Q3;7;59;191;2149;142;191;0,70;36,42;Russian Federation;Eastern Europe;"Altai State University";"2016-2020";"Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Organic Chemistry (Q3); Plant Science (Q3); Biomaterials (Q4)"
255;16694;"American Fern Journal";journal;"00028444";0,350;Q3;27;21;47;738;47;47;0,72;35,14;United States;Northern America;"American Fern Society";"1993-2020";"Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
256;21100839164;"Czech Mycology";journal;"12110981, 18051421";0,348;Q3;5;9;38;326;29;38;0,84;36,22;Czech Republic;Eastern Europe;"Czech Scientific Society for Mycology";"2016-2020";"Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
257;98120;"Plant Genetic Resources: Characterisation and Utilisation";journal;"1479263X, 14792621";0,343;Q3;35;47;201;1974;242;198;1,06;42,00;United Kingdom;Western Europe;"Cambridge University Press";"2002-2020";"Agronomy and Crop Science (Q3); Plant Science (Q3); Genetics (Q4)"
258;19944;"Novon";journal;"10553177";0,341;Q3;24;34;111;561;62;110;0,57;16,50;United States;Northern America;"Missouri Botanical Garden";"1994-2020";"Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
259;4500151501;"Planta Daninha";journal;"01008358";0,341;Q3;31;92;388;2987;316;388;0,68;32,47;Brazil;Latin America;"Sociedade Brasileira da Ciencia das Plantas Daninhas";"2006-2020";"Agronomy and Crop Science (Q3); Plant Science (Q3); Biochemistry (Q4); Physiology (Q4)"
260;19200156920;"Biotechnology, Agronomy and Society and Environment";journal;"13706233, 17804507";0,340;Q3;36;23;71;1044;106;70;1,11;45,39;Belgium;Western Europe;"Les Presses Agronomiques de Gembloux";"1997-2020";"Forestry (Q2); Geography, Planning and Development (Q2); Agronomy and Crop Science (Q3); Biotechnology (Q3); Plant Science (Q3)"
261;17406;"Canadian Journal of Plant Science";journal;"00084220, 19181833";0,338;Q3;59;54;374;1982;339;373;0,86;36,70;Canada;Northern America;"Agricultural Institute of Canada";"1973-1975, 1977-1980, 1983-1985, 1989, 1992-2020";"Horticulture (Q2); Agronomy and Crop Science (Q3); Plant Science (Q3)"
262;17821;"Turkish Journal of Botany";journal;"1300008X, 13036106";0,336;Q3;37;54;198;2920;258;193;1,39;54,07;Turkey;Middle East;"Turkiye Klinikleri Journal of Medical Sciences";"1990, 1992-2020";"Plant Science (Q3)"
263;18100156702;"Journal of Plant Protection Research";journal;"14274345, 1899007X";0,335;Q3;24;48;170;1876;202;170;0,97;39,08;Poland;Eastern Europe;"Polish Academy of Sciences, Committee of Plant Protection";"2008-2020";"Agronomy and Crop Science (Q3); Plant Science (Q3); Soil Science (Q3)"
264;19316;"Lindbergia";journal;"01050761";0,335;Q3;18;4;17;199;23;16;1,67;49,75;Netherlands;Western Europe;"Lindbergia";"1979, 1984, 1993-2008, 2010-2020";"Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
265;37775;"South African Journal of Plant and Soil";journal;"02571862";0,334;Q3;19;49;150;1912;152;149;1,11;39,02;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1984-2020";"Ecology (Q3); Plant Science (Q3); Soil Science (Q3)"
266;21100427836;"Annales, Series Historia Naturalis";journal;"1408533X";0,333;Q3;7;24;45;781;26;45;0,60;32,54;Slovenia;Eastern Europe;"University of Primorska";"2013-2020";"Aquatic Science (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
267;21100431319;"Journal of Crop Science and Biotechnology";journal;"20058276, 19759479";0,333;Q3;14;56;140;2512;167;140;1,02;44,86;Switzerland;Western Europe;"Springer International Publishing AG";"2009-2010, 2012, 2014-2020";"Agronomy and Crop Science (Q3); Biotechnology (Q3); Plant Science (Q3)"
268;19937;"Nordic Journal of Botany";journal;"0107055X, 17561051";0,333;Q3;33;99;351;3448;299;348;0,84;34,83;United States;Northern America;"Wiley-Blackwell";"1981-2004, 2007-2020";"Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
269;17349;"Brittonia";journal;"1938436X, 0007196X";0,332;Q3;27;46;146;1133;117;146;0,74;24,63;United States;Northern America;"Springer New York";"1931-1938, 1940-1952, 1954-2020";"Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
270;17700156420;"Notulae Botanicae Horti Agrobotanici Cluj-Napoca";journal;"0255965X, 18424309";0,332;Q3;32;169;359;8181;507;357;1,44;48,41;Romania;Eastern Europe;"Academic Press Inc.";"2007, 2009-2020";"Agronomy and Crop Science (Q3); Horticulture (Q3); Plant Science (Q3)"
271;21100321693;"Karstenia";journal;"04533402";0,330;Q3;6;7;6;263;6;6;0,00;37,57;Finland;Western Europe;"Finnish Mycological Society";"2013-2017";"Infectious Diseases (Q3); Plant Science (Q3); Microbiology (Q4)"
272;4400151712;"International Journal of Fruit Science";journal;"15538362";0,329;Q3;18;210;96;9418;124;96;1,22;44,85;United States;Northern America;"Taylor and Francis Ltd.";"2005-2020";"Agronomy and Crop Science (Q3); Ecology (Q3); Horticulture (Q3); Plant Science (Q3)"
273;17624;"Journal of Plant Biochemistry and Biotechnology";journal;"09741275, 09717811";0,329;Q3;28;101;147;5019;171;147;1,19;49,69;India;Asiatic Region;"Springer India";"1992-2020";"Agronomy and Crop Science (Q3); Biotechnology (Q3); Plant Science (Q3)"
274;5700165213;"Czech Journal of Genetics and Plant Breeding";journal;"12121975, 18059325";0,328;Q3;18;22;69;603;71;69;0,91;27,41;Czech Republic;Eastern Europe;"Czech Academy of Agricultural Sciences";"2007-2020";"Plant Science (Q3); Genetics (Q4)"
275;79582;"EPPO Bulletin";journal;"02508052, 13652338";0,327;Q3;36;88;253;1874;220;198;0,88;21,30;United States;Northern America;"Wiley-Blackwell";"1971-2020";"Agronomy and Crop Science (Q3); Horticulture (Q3); Plant Science (Q3)"
276;21100211323;"Plant Sociology";journal;"22801855";0,327;Q3;25;14;64;1140;73;62;1,09;81,43;Italy;Western Europe;"Societa Italiana di Scienza della Vegetazione";"2012-2020";"Forestry (Q2); Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
277;21100432543;"Thai Forest Bulletin (Botany)";journal;"2465423X, 04953843";0,321;Q3;4;28;65;496;35;65;0,53;17,71;Thailand;Asiatic Region;"Forest Herbarium";"2015-2020";"Forestry (Q2); Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
278;21100469366;"Agricultural Research";journal;"22497218, 2249720X";0,319;Q3;23;95;163;3656;186;162;0,99;38,48;Switzerland;Western Europe;"Springer International Publishing AG";"2012-2020";"Agronomy and Crop Science (Q3); Food Science (Q3); Plant Science (Q3)"
279;9500154118;"Journal of the Botanical Research Institute of Texas";journal;"19345259";0,316;Q3;22;11;129;370;39;129;0,33;33,64;United States;Northern America;"Botanical Research Institute of Texas Inc.";"2007-2019";"Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
280;19983;"Pakistan Journal of Botany";journal;"05563321";0,316;Q3;57;266;924;11077;877;924;0,96;41,64;Pakistan;Asiatic Region;"Pakistan Botanical Society";"1978, 1984-1986, 1996-2020";"Plant Science (Q3)"
281;21100811152;"International Journal of Forestry Research";journal;"16879368, 16879376";0,314;Q3;8;32;24;1652;47;24;1,93;51,63;United States;Northern America;"Hindawi Publishing Corporation";"2016-2020";"Ecology, Evolution, Behavior and Systematics (Q3); Forestry (Q3); Nature and Landscape Conservation (Q3); Plant Science (Q3)"
282;21100945249;"Plant Physiology Reports";journal;"26622548, 2662253X";0,314;Q3;18;67;206;3466;207;204;0,90;51,73;India;Asiatic Region;"Springer India";"2019-2020";"Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3); Cell Biology (Q4); Genetics (Q4); Physiology (Q4)"
283;21100867253;"Plant Breeding and Biotechnology";journal;"22879358, 22879366";0,312;Q3;5;38;82;1707;87;82;1,06;44,92;South Korea;Asiatic Region;"Korean Society of Breeding Science";"2015, 2018-2020";"Biotechnology (Q3); Plant Science (Q3)"
284;25815;"Chemistry of Natural Compounds";journal;"15738388, 00093130";0,310;Q3;39;323;1010;5117;774;986;0,79;15,84;United States;Northern America;"Springer New York";"1965-2020";"Plant Science (Q3)"
285;17944;"Darwiniana";journal;"00116793";0,310;Q3;21;25;54;1062;35;54;0,70;42,48;Argentina;Latin America;"Instituto de Botanica Darwinion";"1985-1986, 1989-1990, 1992-1993, 1995-2020";"Plant Science (Q3)"
286;17166;"Rhodora";journal;"00354902";0,308;Q3;20;22;59;475;28;53;0,50;21,59;United States;Northern America;"Allen Press Inc.";"1981-1986, 1995-2020";"Horticulture (Q3); Plant Science (Q3)"
287;21100820182;"Chinese Journal of Rice Science";journal;"10017216";0,305;Q3;6;57;200;2198;182;200;0,94;38,56;China;Asiatic Region;"China National Rice Research Institute";"2016-2020";"Agronomy and Crop Science (Q3); Plant Science (Q3); Soil Science (Q3)"
288;15900154720;"Australian Journal of Crop Science";journal;"18352707, 18352693";0,304;Q3;44;215;763;7806;599;763;0,72;36,31;Australia;Pacific Region;"Southern Cross Publishing and Printing Pty Ltd";"2009-2020";"Agronomy and Crop Science (Q3); Plant Science (Q3)"
289;19700201415;"Environmental Control in Biology";journal;"18830986, 1880554X";0,303;Q3;16;20;73;512;42;72;0,45;25,60;Japan;Asiatic Region;"Japanese Society of Agricultural, Biological and Environmental Engineers and Scientists (JASBEES)";"2005-2020";"Agronomy and Crop Science (Q3); Plant Science (Q3)"
290;16706;"Annales Botanici Fennici";journal;"00033847";0,300;Q3;36;48;146;1085;88;143;0,64;22,60;Finland;Western Europe;"Finnish Zoological and Botanical Publishing Board";"1973, 1975, 1977-2020";"Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
291;19900193995;"Indian Journal of Genetics and Plant Breeding";journal;"09756906, 00195200";0,300;Q3;14;68;266;1314;145;210;0,47;19,32;India;Asiatic Region;"Indian Society of Genetics &amp; Plant Breeding.";"2008-2019";"Plant Science (Q3); Genetics (Q4)"
292;30862;"Journal of the Torrey Botanical Society";journal;"10955674";0,300;Q3;45;28;104;1509;85;104;0,62;53,89;United States;Northern America;"Torrey Botanical Society";"1996-2020";"Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
293;16654;"Acta Societatis Botanicorum Poloniae";journal;"00016977, 20839480";0,297;Q3;29;22;115;1659;137;115;0,96;75,41;Poland;Eastern Europe;"Polskie Towarzystwo Botaniczne";"1960-1979, 1981-2020";"Plant Science (Q3)"
294;21100367873;"Journal of Horticultural Research";journal;"23005009, 23533978";0,294;Q3;9;28;52;967;63;52;1,00;34,54;Germany;Western Europe;"Walter de Gruyter GmbH";"2014-2020";"Agronomy and Crop Science (Q3); Food Science (Q3); Horticulture (Q3); Plant Science (Q3); Soil Science (Q3)"
295;110036;"Cryptogamie, Bryologie";journal;"12900796";0,292;Q3;25;20;92;838;48;91;0,44;41,90;France;Western Europe;"A.D.A.C.";"1999-2020";"Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
296;21100784997;"Crop, Forage and Turfgrass Management";journal;"23743832";0,290;Q3;10;81;193;1751;138;186;0,71;21,62;United States;Northern America;"Plant Management Network";"2015-2020";"Agronomy and Crop Science (Q3); Plant Science (Q3); Soil Science (Q3)"
297;21100244622;"Botanical Sciences";journal;"20074298, 20074476";0,289;Q3;17;59;141;3775;148;135;1,02;63,98;Mexico;Latin America;"Sociedad Botanica de Mexico";"2011-2020";"Plant Science (Q3)"
298;19152;"Israel Journal of Plant Sciences";journal;"07929978, 22238980";0,287;Q3;32;19;79;1151;68;75;0,62;60,58;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1994-2013, 2015-2020";"Agronomy and Crop Science (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
299;19700182259;"Journal of the Indian Academy of Wood Science";journal;"0972172X, 09768432";0,286;Q3;10;23;67;717;71;67;1,00;31,17;India;Asiatic Region;"Springer India";"2010-2020";"Forestry (Q3); Plant Science (Q3); Biomaterials (Q4)"
300;21100228010;"Collectanea Botanica";journal;"00100730, 19691067";0,285;Q3;7;8;20;576;11;20;0,58;72,00;Spain;Western Europe;"CSIC Consejo Superior de Investigaciones Cientificas";"2012-2020";"Plant Science (Q3)"
301;19900191738;"Plant OMICS";journal;"18360661, 18363644";0,285;Q3;25;13;66;522;75;66;0,65;40,15;Australia;Pacific Region;"Southern Cross Publishing and Printing Pty Ltd";"2010-2020";"Agronomy and Crop Science (Q3); Plant Science (Q3)"
302;16201;"Acta Botanica Croatica";journal;"03650588, 18478476";0,284;Q3;22;11;82;519;99;82;1,15;47,18;Croatia;Eastern Europe;"University of Zagreb";"1980-1983, 1985, 1996, 1998-2020";"Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
303;21100914244;"Korean Journal of Plant Taxonomy";journal;"24661546, 12258318";0,284;Q3;3;37;63;1027;34;63;0,54;27,76;South Korea;Asiatic Region;"Korean Society of Plant Taxonomists";"2018-2020";"Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
304;19600161819;"Revista de la Facultad de Ciencias Agrarias";journal;"03704661";0,283;Q3;10;63;158;2212;144;154;1,09;35,11;Argentina;Latin America;"Universidad Nacional de Cuyo";"2008-2020";"Agronomy and Crop Science (Q3); Plant Science (Q3)"
305;9500154033;"Biologia (Poland)";journal;"13369563, 00063088";0,282;Q3;38;236;474;11787;529;471;1,24;49,94;Germany;Western Europe;"Walter de Gruyter GmbH";"1954-1955, 1961-1970, 1974-1989, 1996-2001, 2006-2020";"Animal Science and Zoology (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3); Biochemistry (Q4); Cell Biology (Q4); Genetics (Q4); Molecular Biology (Q4)"
306;21100211763;"Boletin de la Sociedad Argentina de Botanica";journal;"18512372, 0373580X";0,277;Q3;14;31;169;1470;96;168;0,60;47,42;Argentina;Latin America;"Sociedad Argentina de Botanica";"2006-2020";"Plant Science (Q3); Ecology, Evolution, Behavior and Systematics (Q4)"
307;19600156812;"Hacquetia";journal;"15814661, 18549829";0,275;Q3;13;17;49;857;59;49;1,29;50,41;Poland;Eastern Europe;"De Gruyter Open Ltd.";"2007-2020";"Forestry (Q3); Plant Science (Q3); Ecology, Evolution, Behavior and Systematics (Q4)"
308;21100792747;"Ornamental Horticulture";journal;"2447536X";0,274;Q3;6;74;147;2252;122;141;0,80;30,43;Brazil;Latin America;"Brazilian Society of Floriculture and Ornamental Plants";"2016-2020";"Horticulture (Q3); Plant Science (Q3)"
309;21100871308;"Plant and Fungal Systematics";journal;"25447459";0,273;Q3;18;0;61;0;35;61;0,74;0,00;Germany;Western Europe;"De Gruyter Open Ltd.";"2018-2019";"Plant Science (Q3)"
310;21100934999;"Journal of Plant Nutrition and Fertilizers";journal;"1008505X";0,272;Q3;7;198;405;8134;426;405;1,05;41,08;China;Asiatic Region;"Chinese Academy of Agriculture Sciences,Editorial Department of Journal of Plant Nutrition and Fertilizer";"2018-2020";"Agronomy and Crop Science (Q3); Plant Science (Q3); Soil Science (Q3)"
311;21100827441;"Current Research in Environmental and Applied Mycology";journal;"22292225";0,271;Q3;6;38;105;1722;73;105;0,78;45,32;China;Asiatic Region;"Beijing Academy of Agriculture and Forestry Sciences, Institute of Plant and Environment Protection";"2017-2020";"Ecology (Q3); Plant Science (Q3); Ecology, Evolution, Behavior and Systematics (Q4); Infectious Diseases (Q4); Microbiology (Q4)"
312;11400153337;"International Journal of Vegetable Science";journal;"19315279, 19315260";0,271;Q3;17;82;163;2751;157;144;0,94;33,55;United States;Northern America;"Taylor and Francis Ltd.";"2007-2020";"Agronomy and Crop Science (Q3); Plant Science (Q3)"
313;11800154586;"Summa Phytopathologica";journal;"01005405, 19805454";0,271;Q3;14;54;208;1098;101;181;0,39;20,33;Brazil;Latin America;"Universidade Estadual Paulista (UNESP)";"2008-2020";"Plant Science (Q3)"
314;19600166402;"Coffee Science";journal;"18096875";0,268;Q3;15;53;175;1905;117;172;0,63;35,94;Brazil;Latin America;"Editora UFLA";"2009-2020";"Food Science (Q3); Plant Science (Q3); Soil Science (Q3)"
315;21100838400;"Acta Agronomica Sinica(China)";journal;"04963490";0,264;Q3;15;156;462;5712;381;462;0,88;36,62;China;Asiatic Region;"Institute of Crop Sciences (ICS)";"2012, 2014-2020";"Agronomy and Crop Science (Q3); Biotechnology (Q3); Plant Science (Q3)"
316;21100870015;"Acta Phytotaxonomica et Geobotanica";journal;"13467565, 21897042";0,264;Q3;7;21;65;535;41;65;0,51;25,48;Japan;Asiatic Region;"";"2014-2020";"Ecology (Q3); Plant Science (Q3); Ecology, Evolution, Behavior and Systematics (Q4)"
317;21100820898;"Tropical Grasslands - Forrajes Tropicales";journal;"23463775";0,264;Q3;12;16;109;405;73;109;0,56;25,31;Colombia;Latin America;"Centro Internacional de Agricultura Tropical (CIAT)";"2013-2020";"Agronomy and Crop Science (Q3); Plant Science (Q3); Ecology, Evolution, Behavior and Systematics (Q4)"
318;24976;"Forest Products Journal";journal;"00157473";0,260;Q3;51;48;151;1494;130;150;0,78;31,13;United States;Northern America;"Forest Products Society";"1968-1989, 1993, 1995-2019";"Forestry (Q3); Materials Science (miscellaneous) (Q3); Plant Science (Q3)"
319;21100332431;"Biodiversitas";journal;"1412033X, 20854722";0,257;Q3;14;712;1029;31027;1109;1029;1,05;43,58;Indonesia;Asiatic Region;"Biology department, Sebelas Maret University Surakarta";"2014-2020";"Animal Science and Zoology (Q3); Plant Science (Q3); Molecular Biology (Q4)"
320;19200156903;"Acta Botanica Mexicana";journal;"24487589, 01877151";0,255;Q3;14;63;122;3249;111;122;0,85;51,57;Mexico;Latin America;"Instituto de Ecologia, A.C.";"2008-2020";"Plant Science (Q3); Ecology, Evolution, Behavior and Systematics (Q4)"
321;19200157026;"Journal of Apicultural Science";journal;"16434439";0,255;Q3;18;21;75;846;60;75;0,71;40,29;Poland;Eastern Europe;"Research Institute of Pomology and Floriculture";"2008-2020";"Plant Science (Q3); Insect Science (Q4)"
322;4500151529;"Beitrage zur Tabakforschung International/ Contributions to Tobacco Research";journal;"0173783X";0,253;Q3;16;14;48;419;30;43;0,70;29,93;Germany;Western Europe;"De Gruyter Open Ltd.";"1961-1984, 2006-2020";"Agronomy and Crop Science (Q3); Biotechnology (Q3); Plant Science (Q3); Public Health, Environmental and Occupational Health (Q4)"
323;19300157021;"Acta Scientiarum Polonorum, Hortorum Cultus";journal;"16440692";0,252;Q3;20;84;311;3404;230;311;0,71;40,52;Poland;Eastern Europe;"Wydawnictwo Akad Rolniczej W Lublinie";"2008-2020";"Horticulture (Q3); Plant Science (Q3)"
324;21100391600;"Agriculture";journal;"13384376, 05513677";0,252;Q3;10;13;52;599;56;52;1,08;46,08;Germany;Western Europe;"Walter de Gruyter GmbH";"2011-2020";"Agronomy and Crop Science (Q3); Horticulture (Q3); Plant Science (Q3); Soil Science (Q3)"
325;21100786528;"Chinese Journal of Plant Ecology";journal;"1005264X";0,252;Q3;9;28;330;1855;242;330;0,67;66,25;China;Asiatic Region;"";"2016-2019";"Ecology (Q3); Plant Science (Q3); Ecology, Evolution, Behavior and Systematics (Q4)"
326;18508;"Cytologia";journal;"00114545";0,250;Q3;28;56;229;1711;156;217;0,76;30,55;Japan;Asiatic Region;"Japan Mendel Society";"1929-1944, 1947, 1949-2020";"Animal Science and Zoology (Q3); Plant Science (Q3); Cell Biology (Q4); Genetics (Q4)"
327;21100370441;"Journal of Botany";journal;"20900120, 20900139";0,249;Q3;11;0;11;0;18;11;1,33;0,00;United States;Northern America;"Hindawi Publishing Corporation";"2014-2018";"Plant Science (Q3)"
328;16682;"Allelopathy Journal";journal;"09714693, 09735046";0,248;Q3;31;27;190;1433;142;186;0,75;53,07;India;Asiatic Region;"International Allelopathy Foundation";"1996-2020";"Agronomy and Crop Science (Q3); Plant Science (Q3)"
329;21100806944;"Botanica Pacifica";journal;"24103713, 22264701";0,247;Q3;5;33;73;1672;41;73;0,58;50,67;Russian Federation;Eastern Europe;"Botanical Garden-Institute";"2016-2020";"Ecology (Q3); Plant Science (Q3); Ecology, Evolution, Behavior and Systematics (Q4)"
330;17600155125;"Hellenic Plant Protection Journal";journal;"17913691";0,247;Q3;9;10;26;413;24;26;0,56;41,30;Germany;Western Europe;"Walter de Gruyter GmbH";"2009-2020";"Agronomy and Crop Science (Q3); Plant Science (Q3)"
331;4000148022;"Asian Journal of Plant Sciences";journal;"16823974, 18125697";0,246;Q3;30;59;70;2332;85;70;0,87;39,53;Pakistan;Asiatic Region;"Asian Network for Scientific Information";"2006-2020";"Agronomy and Crop Science (Q3); Plant Science (Q3)"
332;21100298206;"Journal of Plant Biotechnology";journal;"12292818";0,246;Q3;8;41;150;1509;106;150;0,66;36,80;South Korea;Asiatic Region;"Korean society of plant biotechnology";"2012-2020";"Agronomy and Crop Science (Q3); Biotechnology (Q3); Plant Science (Q3)"
333;17192;"Seed Science and Technology";journal;"02510952";0,246;Q3;42;1;75;18;58;75;0,79;18,00;Switzerland;Western Europe;"International Seed Testing Association";"1977, 1993-1994, 1996-2020";"Agronomy and Crop Science (Q3); Horticulture (Q3); Plant Science (Q3)"
334;19600166213;"Thaiszia Journal of Botany";journal;"12100420";0,246;Q3;8;13;42;573;17;41;0,40;44,08;Slovakia;Eastern Europe;"Pavol Jozef Safarik University";"2009-2020";"Plant Science (Q3)"
335;19500157223;"Harvard Papers in Botany";journal;"10434534, 19382944";0,242;Q3;9;30;79;696;25;78;0,35;23,20;United States;Northern America;"Harvard University Herbaria";"2009-2010, 2012, 2014-2019";"Plant Science (Q3)"
336;75138;"Indian Journal of Agricultural Research";journal;"03678245, 0976058X";0,241;Q3;8;107;324;2636;131;324;0,37;24,64;India;Asiatic Region;"Agricultural Research Communication Centre";"1979, 1983, 1988, 1990, 2012-2020";"Agronomy and Crop Science (Q3); Horticulture (Q3); Plant Science (Q3); Soil Science (Q3)"
337;21100902935;"Journal of Biologically Active Products from Nature";journal;"22311874, 22311866";0,241;Q3;11;41;117;1611;121;117;1,23;39,29;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2011-2020";"Agricultural and Biological Sciences (miscellaneous) (Q3); Complementary and Alternative Medicine (Q3); Plant Science (Q3); Drug Discovery (Q4); Pharmacology (Q4); Toxicology (Q4)"
338;21100903770;"Eurasian Journal of Soil Science";journal;"21474249";0,240;Q3;5;40;78;1802;71;78;0,91;45,05;Turkey;Middle East;"Federation of Eurasian Soil Science Societies";"2018-2020";"Agronomy and Crop Science (Q3); Environmental Science (miscellaneous) (Q3); Plant Science (Q3); Soil Science (Q3)"
339;18048;"Feddes Repertorium";journal;"1522239X, 00148962";0,240;Q3;25;26;52;800;34;52;0,68;30,77;United States;Northern America;"Wiley-Blackwell";"1965-1987, 1989-2020";"Plant Science (Q3); Ecology, Evolution, Behavior and Systematics (Q4)"
340;21100413900;"Genetika";journal;"18206069, 05340012";0,240;Q3;15;93;270;3355;179;270;0,71;36,08;Serbia;Eastern Europe;"Drustvo Geneticara Srbije";"2007-2020";"Agricultural and Biological Sciences (miscellaneous) (Q3); Plant Science (Q3); Genetics (Q4)"
341;21100199833;"Russian Journal of Theriology";journal;"16823559";0,240;Q3;9;17;46;873;26;46;0,46;51,35;Russian Federation;Eastern Europe;"KMK Scientific Press Ltd.";"2011-2020";"Animal Science and Zoology (Q3); Plant Science (Q3); Ecology, Evolution, Behavior and Systematics (Q4)"
342;14000156200;"Rheedea";journal;"09712313";0,239;Q3;11;43;62;1175;33;62;0,09;27,33;India;Asiatic Region;"Indian Association for Angiosperm Taxonomy";"2006-2020";"Plant Science (Q3); Ecology, Evolution, Behavior and Systematics (Q4)"
343;12300154905;"Revista Fitotecnia Mexicana";journal;"01877380";0,238;Q4;16;68;175;1834;89;166;0,53;26,97;Mexico;Latin America;"Sociedad Mexicana de Fitogenetica";"2007-2020";"Agronomy and Crop Science (Q3); Horticulture (Q3); Genetics (Q4); Plant Science (Q4)"
344;21100900506;"Chinese Journal of Eco-Agriculture";journal;"16713990";0,234;Q4;7;189;386;7073;324;386;0,84;37,42;China;Asiatic Region;"Science Press";"2018-2020";"Agronomy and Crop Science (Q3); Ecology (Q3); Soil Science (Q3); Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)"
345;17305;"Botanicheskii Zhurnal";journal;"00068136";0,233;Q4;3;97;121;3703;39;121;0,32;38,18;Russian Federation;Eastern Europe;"Komarov Botanical Institute of the Russian Academy of Sciences";"1977, 1979-1983, 2019-2020";"Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)"
346;19130;"International Journal on Algae";journal;"15219429";0,231;Q4;9;31;91;1050;33;91;0,31;33,87;United States;Northern America;"Begell House Inc.";"2004-2020";"Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)"
347;5300152719;"Biotechnologia";journal;"08607796";0,230;Q4;11;31;102;1616;93;102;0,99;52,13;Poland;Eastern Europe;"Instytut Chemii Bioorganicznej PAN";"2007-2020";"Biotechnology (Q3); Plant Science (Q4)"
348;21100773807;"Electronic Journal of Plant Breeding";journal;"0975928X";0,230;Q4;9;197;597;3614;193;584;0,36;18,35;India;Asiatic Region;"Indian Society of Plant Breeders";"2009-2020";"Agronomy and Crop Science (Q3); Soil Science (Q3); Plant Science (Q4)"
349;21100811145;"Novosti Sistematiki Nizshikh Rastenii";journal;"05685435";0,229;Q4;5;35;90;1129;43;90;0,56;32,26;Russian Federation;Eastern Europe;"Komarov Botanical Institute of the Russian Academy of Sciences";"2016-2020";"Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)"
350;19350;"Mikologiya I Fitopatologiya";journal;"00263648";0,228;Q4;12;48;117;1654;60;117;0,53;34,46;Russian Federation;Eastern Europe;"Russian Academy of Sciences";"1996-2020";"Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)"
351;19700170476;"Journal of Animal and Plant Sciences";journal;"10187081";0,224;Q4;28;229;702;9681;491;702;0,59;42,28;Pakistan;Asiatic Region;"Pakistan Agricultural Scientists Forum";"2008-2021";"Animal Science and Zoology (Q4); Plant Science (Q4)"
352;21100857166;"Journal of Nuts";journal;"23833416, 2383319X";0,223;Q4;3;26;48;1099;31;48;0,44;42,27;Iran;Middle East;"Islamic Azad University";"2017-2020";"Agronomy and Crop Science (Q3); Plant Science (Q4); Soil Science (Q4)"
353;21100914897;"Egyptian Journal of Botany";journal;"23570350, 03759237";0,222;Q4;3;65;61;3708;67;61;1,10;57,05;Egypt;Africa/Middle East;"Egyptian Academy of Science and Technology";"2019-2020";"Biotechnology (Q3); Cell Biology (Q4); Ecology (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Genetics (Q4); Plant Science (Q4)"
354;96929;"Maydica";journal;"00256153";0,222;Q4;34;27;78;982;47;78;0,57;36,37;Italy;Western Europe;"Experimental Institute for Cereal Research";"1993-2020";"Agronomy and Crop Science (Q3); Genetics (Q4); Plant Science (Q4)"
